time,data,adversario,vitoria,melhor_de,media_kd_time,media_rating_2.1_time,media_ADR_time,total_rounds_eco,total_rounds_semibuy,total_rounds_full_buy,rounds_ganhos,rounds_perdidos,razao_rounds_ganhos_perdidos
FaZe,24/1/2024,GamerLegion,0,3,-2,0.95,63.56,5,9,29,24,29,0.8275862069
FaZe,25/1/2024,Spirit,1,3,9.2,1.442,84.3,3,2,27,26,8,3.25
FaZe,26/1/2024,GamerLegion,1,3,5.2,1.12,73.88,5,9,41,38,26,1.461538462
FaZe,27/1/2024,Liquid,1,3,2.8,1.082,76.52,7,4,32,26,20,1.3
FaZe,3/2/2024,Rebels,1,3,6.2,1.256,79.08,4,4,29,26,16,1.625
FaZe,4/2/2024,Eternal Fire,1,3,2.2,1.03,72.08,6,13,42,42,35,1.2
FaZe,6/2/2024,Spirit,0,3,-6.8,0.828,66.76,7,3,27,15,26,0.5769230769
FaZe,9/2/2024,G2,1,3,4.4,1.188,75.94,3,4,26,26,15,1.733333333
FaZe,10/2/2024,MOUZ,1,3,9,1.332,82.84,2,5,28,26,14,1.857142857
FaZe,11/2/2024,Spirit,0,5,-10.8,0.838,64.58,7,12,34,23,39,0.5897435897
FaZe,14/2/2024,9 Pandas,1,1,3,1.208,78.68,2,2,14,13,6,2.166666667
FaZe,14/2/2024,Falcons,1,1,3.6,1.178,78.88,1,3,14,13,7,1.857142857
FaZe,15/2/2024,G2,0,3,-4.8,0.892,69.64,4,10,25,17,26,0.6538461538
FaZe,16/2/2024,Eternal Fire,1,3,4.8,1,74.28,5,7,28,32,22,1.454545455
FaZe,21/3/2024,Heroic,0,1,-0.4,0.956,69.28,1,7,13,10,13,0.7692307692
FaZe,21/3/2024,Furia,1,1,2.2,1.16,79.94,3,2,13,13,7,1.857142857
FaZe,22/3/2024,Eternal Fire,0,1,-7.4,0.554,53.72,2,4,7,1,13,0.07692307692
FaZe,23/3/2024,Imperial,1,3,1.8,1.072,74.06,4,10,40,34,29,1.172413793
